Vowel,true.Position,Position,POS
a,i,m,tv.
a,m,m,tv.
a,f,f,tv.
a,i,m,n.
a,m,m,n.
i,m,m,n.
a,m,m,n.
e,f,f,n.
a,i,m,iv.
a,m,m,iv.
o,m,m,iv.
a,f,f,iv.
a,i,m,tv.
a,m,m,tv.
o,m,m,tv.
a,m,m,tv.
a,m,m,tv.
u,m,m,tv.
a,f,f,tv.
a,i,m,n.
a,m,m,n.
o,m,m,n.
a,m,m,n.
u,m,m,n.
a,m,m,n.
e,f,f,n.
a,i,m,tv.
a,m,m,tv.
e,f,f,tv.
a,i,m,adv.
a,m,m,adv.
a,f,f,adv.
a,i,m,adv.
a,m,m,adv.
o,f,f,adv.
a,i,m,tv.
a,m,m,tv.
o,m,m,tv.
e,f,f,tv.
a,i,m,tv.
a,m,m,tv.
a,f,f,tv.
a,i,m,iv.
a,m,m,iv.
i,m,m,iv.
a,f,f,iv.
a,i,m,iv.
a,m,m,iv.
u,f,f,iv.
a,i,m,adv.
a,f,f,adv.
a,i,m,iv.
a,m,m,iv.
e,f,f,iv.
a,i,m,n.
a,m,m,n.
a,m,m,n.
e,f,f,n.
a,i,m,n.
a,m,m,n.
i,f,f,n.
a,i,m,tv.
a,m,m,tv.
a,f,f,tv.
a,i,m,iv.
a,m,m,iv.
e,f,f,iv.
a,i,m,tv.
a,m,m,tv.
u,f,f,tv.
a,i,m,iv.
a,m,m,iv.
e,f,f,iv.
a,i,m,n.
a,m,m,n.
a,f,f,n.
a,i,m,n.
a,m,m,n.
a,m,m,n.
e,m,m,n.
o,f,f,n.
a,i,m,adv.
a,m,m,adv.
o,m,m,adv.
a,m,m,adv.
i,f,f,adv.
a,i,m,n.
a,m,m,n.
a,f,f,n.
a,i,m,n.
a,m,m,n.
o,m,m,n.
a,m,m,n.
a,m,m,n.
a,f,f,n.
a,i,m,iv.
a,m,m,iv.
e,f,f,iv.
a,i,m,adj.
a,m,m,adj.
a,m,m,adj.
u,f,f,adj.
a,i,m,n.
a,m,m,n.
i,f,f,n.
a,i,m,n.
a,m,m,n.
i,f,f,n.
a,i,m,n.
a,m,m,n.
i,m,m,n.
a,m,m,n.
i,f,f,n.
a,i,m,n.
a,m,m,n.
a,m,m,n.
a,m,m,n.
i,f,f,n.
a,i,m,n.
e,m,m,n.
a,f,f,n.
a,i,m,n.
u,m,m,n.
a,m,m,n.
a,f,f,n.
a,i,m,n.
e,m,m,n.
i,m,m,n.
o,f,f,n.
a,i,m,n.
i,m,m,n.
a,f,f,n.
a,i,m,adj.
i,m,m,adj.
i,m,m,adj.
u,f,f,adj.
a,i,m,n.
o,f,f,n.
e,m,m,n.
e,m,m,n.
a,f,f,n.
a,i,m,n.
i,m,m,n.
a,f,f,n.
a,i,m,n.
